student_id,name,program,gender,age,study_mode,gpa_sem1,gpa_sem2,attendance_rate,hours_studied_per_week,co_curricular,fee_payment_status,overall_gpa
5068,Student_68,BSc CS,F,29,Full-Time,2.58,2.54,81.9,9.5,Volunteer,Paid,2.56
5069,Student_69,Diploma CS,F,23,Full-Time,2.44,2.55,76.7,3.7,Sports,Paid,2.5
5070,Student_70,BSc SE,M,21,Full-Time,4.0,3.7,93.1,2.9,Clubs,Paid,3.85
5071,Student_71,BSc SE,F,28,Full-Time,2.0,1.7,100.0,3.3,None,Paid,1.85
5072,Student_72,BSc SE,M,23,Full-Time,2.52,2.04,80.1,6.3,Clubs,Paid,2.28
5073,Student_73,BSc CS,F,20,Full-Time,2.63,2.6,93.7,15.9,Volunteer,Outstanding,2.62
5074,Student_74,Diploma IT,F,27,Full-Time,2.18,2.1,83.4,9.6,None,Paid,2.14
5075,Student_75,Diploma IT,F,25,Part-Time,2.97,2.91,80.2,11.4,Clubs,Paid,2.94
5076,Student_76,BSc CS,M,19,Full-Time,2.12,2.42,95.9,2.6,Clubs,Paid,2.27
5077,Student_77,BSc SE,M,27,Full-Time,3.61,4.0,88.4,14.0,None,Paid,3.8
5078,Student_78,Diploma IT,F,24,Full-Time,2.71,3.26,100.0,8.0,Volunteer,Paid,2.98
5079,Student_79,Diploma CS,F,18,Full-Time,2.1,3.02,100.0,13.4,Clubs,Paid,2.56
5080,Student_80,Diploma CS,M,27,Full-Time,2.52,1.99,100.0,12.7,Clubs,Paid,2.26
5081,Student_81,Diploma IT,F,21,Full-Time,3.38,3.38,,9.0,None,Paid,3.38
5082,Student_82,Diploma IT,M,25,Part-Time,2.82,2.43,95.4,5.5,None,Paid,2.62
5083,Student_83,BSc CS,F,19,Full-Time,1.92,1.45,89.9,11.3,Clubs,Outstanding,1.68
5084,Student_84,BSc CS,F,22,Part-Time,3.3,3.05,87.2,12.4,Clubs,Paid,3.18
5085,Student_85,Diploma IT,M,22,Full-Time,2.54,1.84,99.7,14.7,None,Outstanding,2.19
5086,Student_86,Diploma IT,M,27,Part-Time,2.59,2.15,79.1,7.2,Sports,Paid,2.37
5087,Student_87,BSc CS,F,21,Full-Time,2.83,2.88,84.6,6.5,Volunteer,Paid,2.86
5088,Student_88,BSc CS,F,24,Full-Time,2.93,3.0,100.0,10.9,None,Paid,2.96
5089,Student_89,Diploma IT,M,21,Full-Time,3.65,3.71,87.6,10.9,None,Paid,3.68
5090,Student_90,BSc SE,F,26,Full-Time,3.54,3.13,91.0,,None,Paid,3.34
5091,Student_91,Diploma IT,F,24,Full-Time,2.23,2.03,87.5,10.5,Volunteer,Paid,2.13
5092,Student_92,BSc SE,M,24,Full-Time,2.82,2.62,50.0,14.2,None,Outstanding,2.72
5093,Student_93,BSc CS,M,28,Full-Time,3.18,3.05,75.7,11.3,Leadership,Paid,3.12
5094,Student_94,Diploma IT,M,22,Full-Time,2.69,3.05,82.3,2.0,Sports,Paid,2.87
5095,Student_95,Diploma IT,M,20,Part-Time,2.2,2.77,75.3,10.9,Sports,Paid,2.49
5096,Student_96,Diploma IT,F,20,Full-Time,4.0,4.0,77.1,9.1,None,Paid,4.0
5097,Student_97,BSc CS,F,19,Part-Time,2.03,1.87,74.6,8.1,None,Paid,1.95
5098,Student_98,BSc CS,M,27,Full-Time,3.45,3.74,95.8,12.7,Clubs,Paid,3.6
5099,Student_99,BSc SE,M,20,Full-Time,2.42,2.3,91.2,6.3,Volunteer,Outstanding,2.36
5100,Student_100,Diploma IT,M,20,Full-Time,2.58,3.02,100.0,11.6,Clubs,Paid,2.8
5101,Student_101,Diploma IT,F,28,Part-Time,2.26,2.13,85.8,12.8,Volunteer,Paid,2.19
5102,Student_102,Diploma IT,F,18,Full-Time,2.6,2.69,82.5,6.1,Leadership,Paid,2.64
5103,Student_103,Diploma IT,F,21,Full-Time,4.0,3.55,92.3,9.5,Sports,Paid,3.78
5104,Student_104,Diploma IT,F,26,Part-Time,3.24,3.19,83.9,4.8,None,Paid,3.22
5105,Student_105,BSc SE,M,19,Full-Time,2.71,2.79,78.1,14.8,None,Outstanding,2.75
5106,Student_106,Diploma CS,M,24,Full-Time,1.37,1.79,78.3,9.8,None,Paid,1.58
5107,Student_107,BSc SE,M,28,Full-Time,3.37,4.0,94.3,7.6,Clubs,Paid,3.68
5108,Student_108,Diploma IT,M,29,Part-Time,3.26,3.58,83.9,15.0,None,Paid,3.42
5109,Student_109,BSc SE,M,29,Full-Time,1.87,1.87,89.3,7.3,Clubs,Paid,1.87
5110,Student_110,Diploma CS,F,27,Full-Time,1.33,0.79,83.1,11.0,Sports,Paid,1.06
5111,Student_111,Diploma IT,M,23,Part-Time,4.0,4.0,72.7,2.3,Clubs,Paid,4.0
5112,Student_112,BSc SE,M,25,Full-Time,2.45,2.96,82.9,11.2,Sports,Paid,2.7
5113,Student_113,Diploma CS,F,27,Full-Time,2.04,,93.7,9.0,Sports,Outstanding,2.1
5114,Student_114,Diploma IT,M,24,Full-Time,2.54,3.17,83.0,12.3,None,Paid,2.86
5115,Student_115,BSc CS,M,28,Full-Time,2.69,2.59,88.5,6.8,Clubs,Paid,2.64
5116,Student_116,BSc CS,M,20,Full-Time,2.13,1.93,80.0,5.7,None,Paid,2.03
5117,Student_117,BSc CS,M,22,Part-Time,4.0,4.0,55.9,12.0,Sports,Paid,4.0
5118,Student_118,Diploma IT,F,22,Full-Time,3.08,3.16,100.0,10.3,Clubs,Paid,3.12
5119,Student_119,Diploma IT,F,20,Full-Time,2.84,2.27,,18.6,Clubs,Paid,2.55
5120,Student_120,Diploma CS,M,25,Full-Time,1.55,1.91,94.7,8.7,None,Paid,1.73
5121,Student_121,BSc CS,M,24,Full-Time,2.48,2.67,93.6,2.0,Volunteer,Paid,2.58
5122,Student_122,BSc SE,M,20,Full-Time,2.63,,76.3,20.0,Leadership,Paid,2.86
5123,Student_123,BSc CS,F,21,Full-Time,2.95,3.1,100.0,10.6,Clubs,Paid,3.03
5124,Student_124,Diploma CS,M,28,Full-Time,2.9,2.88,85.4,16.5,Clubs,Outstanding,2.89
5125,Student_125,BSc CS,M,26,Full-Time,1.86,2.25,,6.6,None,Paid,2.06
5126,Student_126,Diploma CS,F,26,Full-Time,3.67,3.65,76.2,12.1,Leadership,Paid,3.66
5127,Student_127,BSc CS,F,19,Full-Time,2.7,3.29,81.5,11.7,None,Paid,3.0
5128,Student_128,Diploma CS,F,18,Part-Time,3.15,3.1,95.0,14.4,Volunteer,Paid,3.12
5129,Student_129,Diploma CS,F,23,Full-Time,2.87,2.98,74.2,,Clubs,Paid,2.92
5130,Student_130,Diploma IT,M,22,Full-Time,1.5,1.38,80.4,2.5,Sports,Paid,1.44
5131,Student_131,BSc CS,F,18,Part-Time,1.91,2.5,76.3,10.3,Sports,Paid,2.2
5132,Student_132,BSc CS,F,25,Full-Time,2.57,2.72,97.7,16.2,None,Outstanding,2.64
5133,Student_133,Diploma CS,M,28,Full-Time,4.0,3.39,71.5,4.6,Clubs,Paid,3.7
5134,Student_134,Diploma IT,M,18,Part-Time,2.74,1.74,91.9,5.4,Leadership,Paid,2.24
5135,Student_135,Diploma CS,M,19,Full-Time,2.62,2.7,89.3,8.4,Clubs,Outstanding,2.66
5136,Student_136,Diploma CS,F,23,Full-Time,3.8,4.0,65.1,8.8,Clubs,Outstanding,3.9
5137,Student_137,Diploma IT,M,21,Part-Time,2.75,2.97,91.1,11.9,None,Paid,2.86
5138,Student_138,Diploma CS,M,23,Full-Time,1.58,1.8,94.7,13.2,Sports,Paid,1.69
5139,Student_139,BSc SE,F,26,Full-Time,2.63,2.0,85.7,8.3,None,Paid,2.32
5140,Student_140,Diploma IT,F,20,Full-Time,3.23,3.8,80.6,13.2,Volunteer,Paid,3.51
5141,Student_141,Diploma CS,M,28,Full-Time,1.96,2.1,73.5,4.6,None,Paid,2.03
5142,Student_142,Diploma IT,M,19,Full-Time,2.31,2.52,79.0,16.3,Sports,Paid,2.42
5143,Student_143,Diploma IT,M,18,Full-Time,2.8,3.79,77.2,11.5,Leadership,Paid,3.3
5144,Student_144,Diploma CS,M,23,Full-Time,1.97,3.19,78.5,11.2,None,Paid,2.58
5145,Student_145,Diploma IT,F,23,Full-Time,2.8,3.08,80.1,14.7,Sports,Paid,2.94
5146,Student_146,Diploma CS,F,27,Full-Time,3.27,3.64,86.4,11.8,Clubs,Paid,3.46
5147,Student_147,Diploma IT,M,25,Part-Time,2.49,2.59,80.6,6.2,Leadership,Paid,2.54
5148,Student_148,BSc SE,M,18,Full-Time,3.03,3.09,83.7,11.8,Leadership,Paid,3.06
5149,Student_149,Diploma CS,M,24,Full-Time,2.57,2.62,91.6,5.7,Leadership,Paid,2.6
5150,Student_150,Diploma CS,F,22,Full-Time,2.26,2.67,52.8,5.8,Volunteer,Paid,2.46
5151,Student_151,BSc CS,F,22,Full-Time,3.42,3.54,78.7,2.0,None,Outstanding,3.48
5152,Student_152,BSc CS,M,23,Full-Time,2.3,1.87,82.6,15.4,None,Outstanding,2.08
5153,Student_153,BSc SE,F,22,Part-Time,1.61,1.85,100.0,,Volunteer,Outstanding,1.73
5154,Student_154,Diploma IT,M,22,Part-Time,2.44,2.19,96.2,8.1,Leadership,Paid,2.32
5155,Student_155,BSc CS,F,22,Part-Time,2.73,3.07,72.2,12.0,Leadership,Paid,2.9
5156,Student_156,BSc CS,M,26,Part-Time,1.4,1.43,83.1,4.8,None,Paid,1.42
5157,Student_157,Diploma CS,F,21,Full-Time,2.59,2.5,92.1,11.1,Sports,Paid,2.54
5158,Student_158,Diploma CS,F,28,Part-Time,3.56,3.2,94.0,5.4,None,Paid,3.38
5159,Student_159,Diploma IT,F,29,Full-Time,2.9,2.96,91.7,13.2,None,Paid,2.93
5160,Student_160,BSc SE,F,23,Full-Time,3.2,3.55,81.5,11.3,None,Paid,3.38
5161,Student_161,Diploma IT,F,19,Full-Time,3.32,3.71,85.6,10.6,None,Outstanding,3.51
5162,Student_162,Diploma IT,F,22,Full-Time,3.39,3.44,77.9,7.2,Volunteer,Outstanding,3.42
5163,Student_163,BSc SE,M,27,Part-Time,3.55,4.0,77.1,10.3,Sports,Paid,3.78
5164,Student_164,BSc CS,M,23,Full-Time,3.34,3.15,76.5,13.7,None,Paid,3.24
5165,Student_165,Diploma IT,F,28,Full-Time,3.5,3.54,88.4,3.8,Clubs,Paid,3.52
5166,Student_166,Diploma IT,F,21,Full-Time,2.8,2.51,71.0,2.0,Clubs,Paid,2.66
5167,Student_167,Diploma IT,M,25,Full-Time,2.49,2.51,89.2,12.6,Volunteer,Paid,2.5
5168,Student_168,BSc CS,F,20,Full-Time,2.84,2.63,81.8,9.6,Volunteer,Paid,2.74
5169,Student_169,Diploma IT,F,18,Full-Time,2.62,2.66,82.6,14.4,Clubs,Paid,2.64
5170,Student_170,BSc CS,F,23,Full-Time,3.57,3.11,96.2,13.4,Clubs,Paid,3.34
5171,Student_171,BSc CS,F,29,Full-Time,2.63,3.0,73.9,15.7,Volunteer,Outstanding,2.82
5172,Student_172,Diploma IT,F,20,Full-Time,3.37,3.29,100.0,10.9,None,Paid,3.33
5173,Student_173,Diploma IT,F,20,Part-Time,2.15,2.71,71.5,5.8,Leadership,Paid,2.43
5174,Student_174,Diploma IT,F,20,Full-Time,2.78,2.69,92.3,7.6,Volunteer,Outstanding,2.74
5175,Student_175,BSc CS,F,21,Full-Time,3.65,4.0,100.0,12.9,Clubs,Paid,3.82
5176,Student_176,Diploma CS,F,21,Full-Time,2.21,1.38,99.8,12.0,Sports,Paid,1.8
5177,Student_177,Diploma CS,F,20,Part-Time,2.8,3.38,70.7,5.4,None,Paid,3.09
5178,Student_178,Diploma CS,M,24,Full-Time,2.61,3.13,89.5,12.2,Leadership,Paid,2.87
5179,Student_179,BSc CS,F,22,Full-Time,3.14,3.02,91.8,15.5,Sports,Paid,3.08
5180,Student_180,Diploma IT,F,22,Full-Time,2.39,3.07,68.0,4.8,Sports,Paid,2.73
5181,Student_181,BSc CS,F,20,Full-Time,2.68,,86.9,3.1,Clubs,Paid,2.82
5182,Student_182,Diploma CS,M,28,Full-Time,3.06,2.83,84.7,13.5,None,Outstanding,2.94
5183,Student_183,BSc CS,F,24,Full-Time,3.83,3.64,76.3,8.4,None,Paid,3.74
5184,Student_184,Diploma IT,F,23,Full-Time,2.39,2.57,92.6,2.0,Leadership,Paid,2.48
5185,Student_185,Diploma CS,M,23,Full-Time,2.28,2.9,100.0,10.2,Volunteer,Paid,2.59
5186,Student_186,Diploma IT,F,27,Full-Time,2.56,2.07,87.4,14.4,None,Outstanding,2.32
5187,Student_187,Diploma CS,M,24,Full-Time,3.02,3.01,81.3,3.6,Clubs,Paid,3.01
5188,Student_188,BSc CS,F,27,Full-Time,3.46,3.99,69.6,4.6,Sports,Paid,3.72
5189,Student_189,BSc CS,F,19,Full-Time,2.32,1.27,95.6,8.2,None,Outstanding,1.8
5190,Student_190,BSc SE,M,18,Full-Time,2.02,2.5,91.8,5.9,Volunteer,Paid,2.26
5191,Student_191,Diploma CS,F,26,Full-Time,3.04,3.47,79.6,6.5,Volunteer,Paid,3.26
5192,Student_192,Diploma CS,F,24,Full-Time,3.34,2.88,80.1,,Volunteer,Outstanding,3.11
5193,Student_193,BSc SE,M,24,Full-Time,3.25,3.34,85.4,13.8,Sports,Paid,3.3
5194,Student_194,Diploma IT,M,19,Full-Time,3.82,3.58,94.4,8.6,None,Paid,3.7
5195,Student_195,BSc CS,F,18,Full-Time,3.35,3.58,70.1,7.6,None,Outstanding,3.46
5196,Student_196,BSc SE,M,20,Full-Time,3.28,2.81,91.5,15.5,Clubs,Outstanding,3.04
5197,Student_197,BSc SE,F,19,Full-Time,2.57,2.95,82.9,15.0,Leadership,Paid,2.76
5198,Student_198,BSc SE,M,27,Full-Time,2.47,2.88,87.2,7.6,Clubs,Outstanding,2.68
5199,Student_199,Diploma CS,M,25,Full-Time,2.65,3.41,76.3,8.6,Clubs,Paid,3.03
5200,Student_200,Diploma CS,M,20,Full-Time,3.13,2.92,79.5,2.5,Clubs,Paid,3.02
5201,Student_201,Diploma CS,F,25,Full-Time,3.57,4.0,94.9,14.8,None,Paid,3.78
5202,Student_202,BSc CS,F,27,Full-Time,3.09,3.51,79.8,7.0,Clubs,Paid,3.3
5203,Student_203,Diploma CS,M,23,Full-Time,2.42,2.65,77.5,10.4,Volunteer,Outstanding,2.54
5204,Student_204,Diploma CS,F,29,Full-Time,3.21,3.63,77.7,9.0,Clubs,Outstanding,3.42
5205,Student_205,Diploma IT,M,22,Part-Time,2.35,2.1,83.0,13.1,Sports,Paid,2.22
5206,Student_206,Diploma IT,F,22,Full-Time,2.5,2.29,88.3,9.5,Sports,Paid,2.4
5207,Student_207,BSc CS,M,19,Full-Time,2.18,2.78,89.8,17.4,Clubs,Paid,2.48
5208,Student_208,Diploma IT,F,19,Full-Time,2.23,1.86,91.8,7.4,Clubs,Paid,2.04
5209,Student_209,Diploma IT,M,24,Full-Time,2.76,3.1,89.0,9.1,Leadership,Paid,2.93
5210,Student_210,BSc SE,M,28,Full-Time,3.05,3.08,82.6,7.9,Leadership,Outstanding,3.06
5211,Student_211,BSc CS,F,28,Full-Time,3.45,3.13,96.5,,Clubs,Paid,3.29
5212,Student_212,Diploma IT,F,28,Part-Time,2.16,2.47,89.2,15.3,Volunteer,Paid,2.32
5213,Student_213,Diploma IT,M,18,Full-Time,3.02,3.42,70.4,6.0,None,Paid,3.22
5214,Student_214,Diploma IT,M,25,Full-Time,3.18,3.58,87.1,15.5,Clubs,Outstanding,3.38
5215,Student_215,Diploma CS,F,25,Full-Time,2.45,2.72,72.2,8.6,None,Paid,2.58
5216,Student_216,Diploma CS,M,24,Full-Time,1.82,2.28,71.2,14.0,Volunteer,Paid,2.05
5217,Student_217,Diploma CS,M,23,Full-Time,2.32,1.89,83.2,9.7,Clubs,Paid,2.1
5218,Student_218,Diploma CS,F,24,Full-Time,3.02,2.89,93.5,,Clubs,Outstanding,2.96
5219,Student_219,BSc CS,M,22,Full-Time,2.17,2.17,69.5,4.6,Clubs,Paid,2.17
5220,Student_220,BSc CS,M,24,Full-Time,3.09,3.66,88.0,16.3,Leadership,Paid,3.38
5221,Student_221,Diploma IT,F,23,Full-Time,3.12,3.08,100.0,,None,Paid,3.1
5222,Student_222,Diploma CS,M,23,Full-Time,2.78,2.83,71.9,10.2,Clubs,Paid,2.8
5223,Student_223,Diploma CS,M,25,Part-Time,2.7,3.15,78.4,,Clubs,Paid,2.92
5224,Student_224,BSc SE,F,18,Full-Time,2.94,3.45,100.0,10.6,None,Outstanding,3.2
5225,Student_225,BSc CS,F,25,Full-Time,2.34,2.0,89.8,2.4,Leadership,Outstanding,2.17
5226,Student_226,Diploma IT,F,22,Full-Time,3.01,3.16,75.5,12.4,None,Outstanding,3.08
5227,Student_227,BSc CS,F,28,Full-Time,2.6,2.73,82.8,5.1,Leadership,Paid,2.66
5228,Student_228,BSc CS,F,20,Part-Time,2.12,1.97,80.7,2.0,Volunteer,Paid,2.04
5229,Student_229,BSc CS,F,28,Full-Time,2.92,2.11,85.2,13.4,Sports,Paid,2.51
5230,Student_230,Diploma IT,F,20,Full-Time,2.61,2.42,97.3,4.0,Clubs,Paid,2.51
5231,Student_231,Diploma CS,F,18,Full-Time,2.44,2.51,83.8,5.2,Sports,Paid,2.47
5232,Student_232,Diploma IT,F,22,Full-Time,3.32,3.65,72.2,13.5,Leadership,Paid,3.48
5233,Student_233,BSc CS,F,21,Full-Time,2.82,3.53,79.5,8.1,None,Paid,3.18
5234,Student_234,Diploma IT,F,27,Part-Time,2.21,2.13,89.5,16.0,Clubs,Paid,2.17
5235,Student_235,Diploma IT,M,21,Full-Time,2.86,3.1,94.0,10.5,Sports,Outstanding,2.98
5236,Student_236,Diploma CS,F,23,Part-Time,4.0,3.82,100.0,14.6,Sports,Paid,3.91
5237,Student_237,BSc CS,F,19,Full-Time,2.73,2.96,91.7,10.6,Leadership,Paid,2.84
5238,Student_238,Diploma IT,F,21,Full-Time,2.79,3.27,100.0,5.4,Clubs,Outstanding,3.03
5239,Student_239,Diploma CS,F,29,Full-Time,2.5,,72.5,10.2,Leadership,Paid,2.52
5240,Student_240,BSc SE,M,25,Full-Time,2.11,1.68,63.5,6.1,Sports,Paid,1.9
5241,Student_241,BSc CS,M,22,Full-Time,3.11,3.17,88.2,10.0,Sports,Outstanding,3.14
5242,Student_242,BSc CS,M,22,Part-Time,2.12,1.66,,2.0,None,Paid,1.89
5243,Student_243,Diploma IT,M,18,Full-Time,2.46,3.23,87.2,13.6,Clubs,Outstanding,2.84
5244,Student_244,Diploma IT,F,21,Full-Time,2.45,1.98,86.3,9.1,None,Paid,2.22
5245,Student_245,BSc CS,F,27,Full-Time,2.49,,96.6,12.7,Volunteer,Paid,2.12
5246,Student_246,Diploma CS,F,20,Part-Time,2.05,2.8,87.9,6.9,Leadership,Paid,2.42
5247,Student_247,Diploma IT,F,22,Part-Time,2.35,2.02,86.7,12.2,Sports,Outstanding,2.18
5248,Student_248,BSc CS,F,22,Full-Time,3.55,3.79,76.1,3.2,None,Paid,3.67
5249,Student_249,Diploma CS,F,21,Part-Time,2.86,3.07,78.4,10.6,Clubs,Paid,2.96
5250,Student_250,BSc SE,F,21,Full-Time,2.9,3.39,78.2,13.5,Volunteer,Paid,3.14
5251,Student_251,Diploma IT,F,18,Full-Time,3.82,3.84,77.3,7.8,Sports,Paid,3.83
5252,Student_252,BSc CS,M,23,Full-Time,3.27,3.8,85.2,16.9,Sports,Paid,3.54
5253,Student_253,BSc SE,F,28,Part-Time,2.73,2.8,79.7,5.2,None,Paid,2.76
5254,Student_254,BSc CS,M,28,Full-Time,1.95,,88.9,5.7,Leadership,Paid,1.93
5255,Student_255,Diploma IT,F,28,Full-Time,2.84,2.0,71.2,13.5,Volunteer,Paid,2.42
5256,Student_256,BSc CS,M,25,Full-Time,2.74,2.5,96.6,11.7,Clubs,Paid,2.62
5257,Student_257,Diploma IT,M,28,Full-Time,3.56,3.08,83.8,17.8,Clubs,Paid,3.32
5258,Student_258,Diploma IT,M,21,Full-Time,2.57,2.49,81.5,2.0,Clubs,Paid,2.53
5259,Student_259,Diploma CS,F,26,Part-Time,2.61,2.94,95.2,6.4,Sports,Outstanding,2.78
5260,Student_260,BSc SE,M,27,Full-Time,1.86,1.28,83.2,11.5,Leadership,Paid,1.57
5261,Student_261,Diploma CS,F,27,Full-Time,1.97,1.92,96.4,9.8,None,Paid,1.94
5262,Student_262,Diploma CS,F,19,Part-Time,2.84,3.07,74.2,7.3,Clubs,Outstanding,2.96
